"m_name","gr_count"
"My Little Pony: Equestria Girls Specials","3"
"Kodiak","3"
"Booh!","3"
"Power Rangers Operation Overdrive","3"
"Shroud for a Nightingale","3"
"Los simuladores","3"
"Miss Marple: Nemesis","3"
"Brandy: Special Delivery","3"
"A Friend of the Family","3"
"Ernest et Célestine, la collection","3"
"Halo: Nightfall","3"
"Keppeki danshi! Aoyama-kun","3"
"Ten","3"
"Crossfire","3"
"What's with Andy?","3"
"Gukyeongi","3"
"An Egg's Guide to Minecraft","3"
"Danger Mouse","3"
"Aprender a volar","3"
"Destination One","3"
"Natsume yûjinchô","3"
"Edha","3"
"Noggin the Nog","3"
"Queen Sono","3"
"Encantadia","3"
"Inu x Boku SS","3"
"Isekai Shoukan wa Nidome desu","3"
"Batman: The Animated Series","3"
"The Collector","3"
"Chosen","3"
"Kodenavn Hunter","3"
"Double Timing Wife","3"
"Osama Bin Laden: The Inside Story","3"
"Club de Cuervos","3"
"Peter Pan and the Pirates","3"
